id,nom,enseigne,adresse,ville,latitude,longitude,gasoil,essence,date_extraction
271,Shell,Shell,"Shell، Autoroute Casa، Av. Varennes, El Jadida 24000",El Jadida,33.241585,-8.498437,,,2026-05-14T19:39:28.103261
272,TotalEnergies AMGHAR,TotalEnergies,"Sortie, Vers Marrakech, N1, El Jadida 24030",Marrakech,33.203781,-8.49324,,,2026-05-14T19:39:28.103264
273,Afriquia ACIMA EL JADIDA,Afriquia,"Afriquia ACIMA EL JADIDA، Avenue Ibnou Badis, Av. Brahim Roudani, El Jadida 24030",El Jadida,33.243109,-8.512473,,,2026-05-14T19:39:28.103275
274,Afriquia DOUKKALA 1,Afriquia,"Afriquia DOUKKALA 1، N1، Ibis, El Jadida 24000",El Jadida,33.244342,-8.490325,,,2026-05-14T19:39:28.103283
275,Shell Station,Shell,"Shell Station، Avenue Mohamed VI، 22 Place Jamiaa Arabia, El Jadida 24000",El Jadida,33.248957,-8.499037,,,2026-05-14T19:39:28.103295
276,TotalEnergies RELAIS MAZAGAN,TotalEnergies,"A1 PK 32, TotalEnergies RELAIS MAZAGAN, El Jadida 24000",El Jadida,33.03079,-8.534919,,,2026-05-14T19:39:28.103300
277,Service Station And Cafee Tangueda,Autre,"6G24+JHV Service Station And Cafee Tangueda, El Jadida 24000",El Jadida,33.201608,-8.493577,,,2026-05-14T19:39:28.103305
278,Station Service inov,Autre,"5GM5+GFQ Station Service inov, Route de Marrakech, El Jadida",Marrakech,33.183846,-8.491268,,,2026-05-14T19:39:28.103308
279,Bus station of El Jadida,Autre,"6GV2+Q6P Bus station of El Jadida، 24000, El Jadida 24000",El Jadida,33.244865,-8.499593,,,2026-05-14T19:39:28.103317
280,Afriquia MARJANE EL JADIDA,Afriquia,Centre Commercial، Avenue Allal Al Fassi، El Jadida 24000,El Jadida,33.224797,-8.529515,,,2026-05-14T19:39:28.103326
281,Station Service Shell,Shell,"Station Service Shell، Douar Tikni، National Route 1 Sis À Province Et Cercle D, El Jadida 24000",El Jadida,33.205407,-8.493176,,,2026-05-14T19:39:28.103338
282,Station Service Samir Haouzia,Autre,"5GP5+MHV Station Service Samir Haouzia, Douar Tikni C.R. Haouzia, El Jadida",El Jadida,33.186737,-8.491092,,,2026-05-14T19:39:28.103346
283,Station Service INOV SIDI BOUZID,Autre,"6C5P+VRF Station Service INOV SIDI BOUZID, Route de Oualidia, El Jadida",El Jadida,33.209581,-8.562715,,,2026-05-14T19:39:28.103352
284,TotalEnergies AL FATH,TotalEnergies,"Av. Mohamed V, El Jadida",El Jadida,33.241771,-8.497704,,,2026-05-14T19:39:28.103356
285,Total service station Doukkala,TotalEnergies,"Route Marrakech, Avenue Bir Anzarane, Bd Bir Anzarane, El Jadida",Marrakech,33.234503,-8.493511,,,2026-05-14T19:39:28.103359
286,Station Service Winxo,Winxo,"6GR2+VXP Station Service Winxo, Av. Al Massira Al Khadra, El Jadida",El Jadida,33.242214,-8.497533,,,2026-05-14T19:39:28.103364
287,Station petrom +coffee,Autre,"6GC4+5XP Station petrom +coffee, El Jadida",El Jadida,33.220459,-8.492532,,,2026-05-14T19:39:28.103369
288,Station Service Green Oil,Autre,"5GW4+9F4 Station Service Green Oil, El Jadida",El Jadida,33.195892,-8.493793,,,2026-05-14T19:39:28.103374
289,Afriquia EL JADIDA CENTER,Afriquia,"272 Av. Mohamed V, El Jadida 24000",El Jadida,33.241952,-8.498758,,,2026-05-14T19:39:28.103380
290,TotalEnergies MELLALIA,TotalEnergies,"N8 Sortie Beni Mellal Vers Marrakech, Ajdir 23000",Marrakech,32.296432,-6.423821,,,2026-05-14T19:39:28.103382
291,Shell,Shell,"N8، Shell, Km 3 Route De Marrakech، Beni-Mellal 23000",Marrakech,32.321253,-6.38301,,,2026-05-14T19:39:28.103387
292,TotalEnergies BENI MELLAL,TotalEnergies,"Boulevard Mohammed V Centre Aguelmous, Rte Regionale N° 407, Béni Mellal 23000",Autre,32.334636,-6.357702,,,2026-05-14T19:39:28.103399
293,Station Service Shell,Shell,"K2 5, Station Service Shell، P3222 Route Secondaire 1677، Route Fkih Ben Saleh, Beni-Mellal 23000",Autre,32.339968,-6.397192,,,2026-05-14T19:39:28.103414
294,TotalEnergies ROCADE BENI MELLAL,TotalEnergies,"9MG9+24 TotalEnergies ROCADE BENI MELLAL, Béni Mellal",Beni Mellal,32.375031,-6.332235,,,2026-05-14T19:39:28.103423
295,ziz,Autre,Beni-Mellal,Autre,32.36304,-6.330606,,,2026-05-14T19:39:28.103428
296,TotalEnergies EL AZIZ,TotalEnergies,"N, TotalEnergies EL AZIZ, Au Pk 16, 8 Route N 3228, Béni Mellal 23000",Autre,32.342443,-6.375799,,,2026-05-14T19:39:28.103439
297,Afriquia ACIMA BENI MELLAL,Afriquia,N8 Boulevard Mohamed V، Beni-Mellal 25020,Autre,32.323472,-6.380717,,,2026-05-14T19:39:28.103448
298,Petromin oils,Petromin,"Petromin oils، ANGLE RTE NATIONALE N° 08 RTE REGIONALE N°, P3225, Beni-Mellal",Autre,32.374164,-6.327613,,,2026-05-14T19:39:28.103460
299,Stations-service Petrom Bd Mohammed V,Petromin,"8JMV+Q6H Stations-service Petrom Bd Mohammed V, Béni Mellal",Autre,32.334445,-6.356886,,,2026-05-14T19:39:28.103471
300,Station Service Petrom,Petromin,"n° 8, sortie, Station Service Petrom, vers Marrakech, Route nationale, Béni Mellal",Marrakech,32.297237,-6.42089,,,2026-05-14T19:39:28.103476
301,Station-service Winxo Palais mhijir,Winxo,"9MCC+4CF Station-service Winxo Palais mhijir, Beni-Mellal",Autre,32.370304,-6.32895,,,2026-05-14T19:39:28.103482
302,Station Service Shell,Shell,"9M58+7PG Station Service Shell, N8, Béni Mellal",Autre,32.358189,-6.33316,,,2026-05-14T19:39:28.103493
303,Station Service Ziz,Autre,Béni Mellal,Autre,32.330078,-6.422074,,,2026-05-14T19:39:28.103498
304,محطة توتال,Autre,"محطة توتال، N 8 RN 8 à l'entrée de l'aéroport de, Béni Mellal 23000",Autre,32.391652,-6.329973,,,2026-05-14T19:39:28.103510
305,Afriquia ACIMA BENI MELLAL,Afriquia,"Afriquia ACIMA BENI MELLAL، Rte de Khouribga، Boulevard Mohamed V, Beni-Mellal 23000",Beni Mellal,32.323477,-6.380722,,,2026-05-14T19:39:28.103522
306,Stations-service Afriquia Béni Mellal 1,Afriquia,"N8 Boulevard Mohammed V, Béni Mellal 25020",Autre,32.323472,-6.380717,,,2026-05-14T19:39:28.103531
307,Afriquia GARE ROUTIERE BENI MELLAL,Afriquia,"Afriquia GARE ROUTIERE BENI MELLAL، A Coté De La، N8 Bvd 20، Gare Routière, Beni-Mellal 25020",Beni Mellal,32.343806,-6.359754,,,2026-05-14T19:39:28.103544
308,Station Petromin (Al Menzeh),Petromin,"8H5W+QRC Station Petromin (Al Menzeh), Beni-Mellal",Autre,32.309443,-6.402979,,,2026-05-14T19:39:28.103549
309,Afriquia AEROPORT BENI MELLAL,Afriquia,"Afriquia AEROPORT BENI MELLAL، N8 Pk 452+300 Kasabt Tadla Beni Mellal, Oulad Yaich 25020",Beni Mellal,32.396202,-6.331422,,,2026-05-14T19:39:28.103562
310,Station Service Winxo,Winxo,"53JC+5H3 Station Service Winxo, Nador",Nador,35.180377,-2.92857,,10.0,2026-05-14T19:39:28.103567
311,Lavage Bleu Self Service 24/7,Autre,"43FF+7RM Lavage Bleu Self Service 24/7, Nador",Nador,35.123727,-2.925496,,,2026-05-14T19:39:28.103574
312,Shell,Shell,"Shell، Boulevard Mohammed V، Rue Jerada, Zeghanghane 62000",Autre,35.154071,-2.983139,,,2026-05-14T19:39:28.103584
313,Afriquia MARJANE NADOR,Afriquia,"Commune Rurale De Bouereg، N15, Nador 34000",Nador,35.123945,-2.92534,,,2026-05-14T19:39:28.103593
314,TotalEnergies TAOURIRT SEBT,TotalEnergies,"vers, R610 Route De Nador, Segangan 34000",Nador,35.156456,-2.975244,,,2026-05-14T19:39:28.103597
315,ZIZ Service Station NADOR,Autre,"N19, Nador",Nador,35.132586,-2.922823,,,2026-05-14T19:39:28.103604
316,أقبوش نعمر نتسات,Autre,"Rue JEMAA GDIMA, Nador",Nador,35.174807,-2.944662,,,2026-05-14T19:39:28.103609
317,TotalEnergies AHALLAL,TotalEnergies,"N15 Route De Nador Mellilia, Beni Ensar I Aït Nsar 34000",Nador,35.247572,-2.93818,,,2026-05-14T19:39:28.103619
318,Gare Routière de Nador,Autre,"43FG+W2V Gare Routière de Nador, Nador",Nador,35.124853,-2.924953,,,2026-05-14T19:39:28.103627
319,CTM Nador,Autre,"Rue General Meziane, Nador",Nador,35.178403,-2.926428,,,2026-05-14T19:39:28.103632
320,Station Service Winxo,Winxo,"5232+X69 Station Service Winxo, Zeghanghane",Autre,35.154909,-2.999383,,,2026-05-14T19:39:28.103637
321,Station Service Petromin Oils,Petromin,"5X59+G5H Station Service Petromin Oils, Iaallatan",Autre,35.158816,-3.032021,,,2026-05-14T19:39:28.103642
322,Gare du train Nador sud,Autre,"527R+87R Route segangan, R610, Nador 62020",Nador,35.163312,-2.959312,,,2026-05-14T19:39:28.103647
323,TotalEnergies MARCHICA,TotalEnergies,"N15 Pk 12 Route Nador, Selouane 34000",Nador,35.086116,-2.934587,,,2026-05-14T19:39:28.103652
324,Station Service Afriquia,Afriquia,Sortie، N19 Route De Taouima، Nador 34000,Nador,35.146096,-2.92727,,,2026-05-14T19:39:28.103660
325,Afriquia NADOR 2,Afriquia,"N15 4، Afriquia NADOR 2, Km Entrée Route، Al Aaroui 62702",Nador,35.040085,-2.969039,,,2026-05-14T19:39:28.103670
326,الناضور,Autre,"53F8+H8C الناضور, Nador",Nador,35.173947,-2.934237,,,2026-05-14T19:39:28.103677
327,Station Service Winxo,Winxo,Rocade Méditerranéenne,Autre,35.127116,-2.953937,,,2026-05-14T19:39:28.103683
328,Shell,Shell,"36 Pk 359, 675، Shell، Av. Taouima Rp، Rue Ibn Nafisse, Nador 62000",Nador,35.158006,-2.930332,,,2026-05-14T19:39:28.103709
329,Non Ce,Autre,"539C+CXV Non Ce, Nador",Nador,35.168616,-2.927584,,,2026-05-14T19:39:28.103714
330,Shell,Shell,"Shell، P4022, Témara 12000",Témara,33.87357,-6.978041,,,2026-05-14T19:39:28.103722
331,Station TOTAL SECOLA,OLA Energy,Témara 12040,Témara,33.868891,-6.973177,,,2026-05-14T19:39:28.103728
332,Station-service Appollo,Autre,"V2R5+8CJ Station-service Appollo, P4022, Temara",Autre,33.890845,-6.991495,12.8,,2026-05-14T19:39:28.103737
333,TotalEnergies MERS ELKHEIR,TotalEnergies,"R403 Mers El Kheir, Témara 12000",Témara,33.865585,-6.916168,,,2026-05-14T19:39:28.103745
334,Afriquia Aïn Atiq,Afriquia,"Km 73, Afriquia Aïn Atiq، Centre, Résidence Riad Ain Atiq، N1, Temara 10150",Autre,33.890666,-6.963873,,,2026-05-14T19:39:28.103758
335,Station WINXO,Autre,"448 IBN KHALDOUN AIN ATIQ, 12040",Autre,33.871758,-6.975806,,,2026-05-14T19:39:28.103763
336,Shell Station,Shell,"Shell Station، 1 National Route 1 Route Casa Par Temara Ain Atiq Province, Temara 12000",Autre,33.88373,-6.978494,,,2026-05-14T19:39:28.103777
337,station winxo,Autre,"V3QH+F63 station winxo, Témara",Témara,33.888631,-6.921962,,,2026-05-14T19:39:28.103785
338,Station,Autre,"W4G4+C8F Station, P4017, Témara",Témara,33.926064,-6.894219,,10.0,2026-05-14T19:39:28.103792
339,Shell,Shell,"Shell، Avenida Moulay Ali Cherif, Témara 12000",Témara,33.933691,-6.909626,20.0,,2026-05-14T19:39:28.103802
340,Station service Appollo Témara,Autre,"Route de sidi yahia, Témara",Témara,33.884279,-6.922345,,,2026-05-14T19:39:28.103810
341,TotalEnergies Chiga,TotalEnergies,"W485+35V TotalEnergies Chiga, Témara",Témara,33.915567,-6.892452,,,2026-05-14T19:39:28.103818
342,Station TOTAL Le Rocher,Autre,"Av. Hassan I, Témara 12000",Témara,33.908017,-6.921135,,,2026-05-14T19:39:28.103826
343,Shell,Shell,"Shell، P4017 Av. Tarik Ibn Ziad, Témara",Témara,33.88675,-6.94171,,,2026-05-14T19:39:28.103835
344,Station Service Petromin Oils,Petromin,"W335+JRX Station Service Petromin Oils, Av. Hassan II, Témara 12000",Témara,33.904104,-6.940385,,,2026-05-14T19:39:28.103846
345,Salama Gas Station,Autre,"W28H+79Q Salama Gas Station, Bd Prince Moulay Abdellah, Temara",Autre,33.91572,-6.971512,14.45,,2026-05-14T19:39:28.103853
346,طوطال,Autre,"طوطال، N1, Témara 10150",Témara,33.921259,-6.921653,,,2026-05-14T19:39:28.103860
347,TotalEnergies CHBAKI,TotalEnergies,"Yahya, Avenue Hassan I, Rue Sidi Kacem, Témara 12000",Témara,33.901002,-6.921351,,,2026-05-14T19:39:28.103870
348,TotalEnergies,TotalEnergies,P4016، Temara 10105,Autre,33.901377,-6.902702,,13.89,2026-05-14T19:39:28.103876
349,Afriquia ACIMA TEMARA,Afriquia,"Afriquia ACIMA TEMARA، Centre، Av. Hassan II, Témara 10150",Témara,33.919699,-6.923651,,,2026-05-14T19:39:28.103887
